City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Asau,RO,2021-01-17 23:02:24,46.4333,26.4,23.0,86,75,5.75
280,Sterling,US,2021-01-17 22:57:48,39.0062,-77.4286,44.6,49,90,8.05
281,Cabo San Lucas,MX,2021-01-17 23:02:24,22.8909,-109.9124,78.8,27,1,5.75
282,Chokurdakh,RU,2021-01-17 23:02:24,70.6333,147.9167,-26.77,85,100,7.02
283,Port Augusta,AU,2021-01-17 23:02:25,-32.5,137.7667,66.99,68,90,12.66
284,Maniitsoq,GL,2021-01-17 23:02:25,65.4167,-52.9,19.06,93,100,6.76
285,Hamburg,DE,2021-01-17 23:02:25,53.55,10.0,32.0,80,75,6.91
286,La Ronge,CA,2021-01-17 23:02:25,55.1001,-105.2842,3.2,85,90,6.91
287,Antofagasta,CL,2021-01-17 23:02:25,-23.65,-70.4,69.8,64,20,11.5
288,Enid,US,2021-01-17 22:59:46,36.3956,-97.8784,51.8,28,40,14.97
289,Menongue,AO,2021-01-17 23:02:26,-14.6585,17.691,64.2,70,24,1.9
290,Leh,IN,2021-01-17 23:02:26,34.1667,77.5833,12.78,68,23,0.56
